image_name,source_format,source_width,source_height,source_bytes,resize_px,jpeg_quality,run_no,ok,status,encode_ms,latency_ms,payload_bytes,jpeg_width,jpeg_height,prompt_tokens,completion_tokens,total_tokens,error_detail
04.webp,webp,1416,2000,103574,512,60,1,true,200,15.16,358.65,24759,362,512,217,12,229,
04.webp,webp,1416,2000,103574,512,70,1,true,200,15.71,311.11,28831,362,512,217,16,233,
04.webp,webp,1416,2000,103574,512,80,1,true,200,15.81,308.56,35119,362,512,217,16,233,
04.webp,webp,1416,2000,103574,768,40,1,true,200,24.39,445.37,35991,544,768,449,16,465,
04.webp,webp,1416,2000,103574,768,50,1,true,200,24.37,430.11,40863,544,768,449,16,465,
04.webp,webp,1416,2000,103574,768,60,1,true,200,32.12,418.21,45815,544,768,449,16,465,
04.webp,webp,1416,2000,103574,768,70,1,true,200,24.12,462.6,53239,544,768,449,16,465,
04.webp,webp,1416,2000,103574,768,80,1,true,200,27.14,423.74,64751,544,768,449,16,465,
04.webp,webp,1416,2000,103574,1024,40,1,true,200,28.2,600.61,55891,725,1024,777,16,793,
04.webp,webp,1416,2000,103574,1024,50,1,true,200,44.53,621,63407,725,1024,777,16,793,
04.webp,webp,1416,2000,103574,1024,60,1,true,200,29.88,591.95,70967,725,1024,777,16,793,
04.webp,webp,1416,2000,103574,1024,70,1,true,200,28.88,596.06,82011,725,1024,777,16,793,
04.webp,webp,1416,2000,103574,1024,80,1,true,200,35.99,618.11,99607,725,1024,777,16,793,
05.webp,webp,1416,2000,161732,256,40,1,true,200,15.3,282.95,8535,181,256,89,16,105,
05.webp,webp,1416,2000,161732,256,50,1,true,200,13.9,251.48,9815,181,256,89,16,105,
05.webp,webp,1416,2000,161732,256,60,1,true,200,14.02,257.19,11175,181,256,89,16,105,
05.webp,webp,1416,2000,161732,256,70,1,true,200,13.93,263.89,13223,181,256,89,16,105,
05.webp,webp,1416,2000,161732,256,80,1,true,200,15.64,266.06,16503,181,256,89,16,105,
05.webp,webp,1416,2000,161732,384,40,1,true,200,15.86,283.22,15915,272,384,149,16,165,
05.webp,webp,1416,2000,161732,384,50,1,true,200,17.57,295.3,18483,272,384,149,16,165,
05.webp,webp,1416,2000,161732,384,60,1,true,200,15.61,296.34,21163,272,384,149,16,165,
05.webp,webp,1416,2000,161732,384,70,1,true,200,16.56,278.97,25143,272,384,149,16,165,
05.webp,webp,1416,2000,161732,384,80,1,true,200,15.48,278.4,31547,272,384,149,16,165,
05.webp,webp,1416,2000,161732,512,40,1,true,200,20.25,336.86,25527,362,512,217,16,233,
05.webp,webp,1416,2000,161732,512,50,1,true,200,19.38,326.01,29687,362,512,217,16,233,
05.webp,webp,1416,2000,161732,512,60,1,true,200,18.53,425.1,34043,362,512,217,16,233,
05.webp,webp,1416,2000,161732,512,70,1,true,200,19.67,319.3,40679,362,512,217,16,233,
05.webp,webp,1416,2000,161732,512,80,1,true,200,18.65,325.34,51023,362,512,217,16,233,
05.webp,webp,1416,2000,161732,768,40,1,true,200,23.47,457.54,48279,544,768,449,16,465,
05.webp,webp,1416,2000,161732,768,50,1,true,200,27.26,441.89,56083,544,768,449,16,465,
05.webp,webp,1416,2000,161732,768,60,1,true,200,23.6,444.72,64479,544,768,449,16,465,
05.webp,webp,1416,2000,161732,768,70,1,true,200,24.13,427.97,76843,544,768,449,16,465,
05.webp,webp,1416,2000,161732,768,80,1,true,200,24.87,472.65,96667,544,768,449,16,465,
05.webp,webp,1416,2000,161732,1024,40,1,true,200,30.59,609.22,75603,725,1024,777,16,793,
05.webp,webp,1416,2000,161732,1024,50,1,true,200,32.12,637.52,87739,725,1024,777,16,793,
05.webp,webp,1416,2000,161732,1024,60,1,true,200,33.49,606.14,100459,725,1024,777,16,793,
05.webp,webp,1416,2000,161732,1024,70,1,true,200,32.57,611.95,119983,725,1024,777,16,793,
05.webp,webp,1416,2000,161732,1024,80,1,true,200,29.9,594.26,151715,725,1024,777,16,793,
